Date,Open,High,Low,Close,Mcap,TurnOver
2005-06-09,3659.8,3664.45,3609.75,3636.5,,
2005-06-10,3640.05,3665.8,3585.8,3593.55,,
2005-06-13,3593.9,3648.4,3556.7,3642.9,,
2005-06-14,3649.05,3696.35,3637.7,3689.8,,
2005-06-15,3700.8,3703.75,3662.85,3683.85,,
2005-06-16,3684.4,3685.75,3607.2,3618.8,,
2005-06-17,3625.1,3627.45,3581.8,3595.8,,
2005-06-20,3600.9,3627.35,3518.95,3531.75,,
2005-06-21,3529.05,3587.1,3529.05,3577.5,,
2005-06-22,3578.65,3614.95,3546.95,3560.9,,
2005-06-23,3561.25,3614.9,3537.8,3610.1,,
2005-06-24,3612,3627.85,3571.9,3599.1,,
2005-06-27,3599,3620.35,3579.35,3596.5,,
2005-06-28,3616.75,3616.75,3547.85,3557.8,,
2005-06-29,3561.55,3590.75,3542.4,3586.65,,
2005-06-30,3585.55,3657.8,3585.55,3638.4,,
2005-07-01,3626.65,3704.35,3607.7,3678.9,,
2005-07-04,3684.05,3725.6,3684.05,3721.5,,
2005-07-05,3722,3749.55,3646.95,3702.05,,
2005-07-06,3701.8,3768.45,3701.8,3759.3,,
2005-07-07,3768.9,3796.9,3700.8,3721.15,,
2005-07-08,3726.55,3781.15,3726.55,3772.2,,
2005-07-11,3774.45,3855.95,3774.45,3844.95,,
2005-07-12,3854.4,3907.75,3835.05,3892.25,,
2005-07-13,3907.8,3927.55,3875.2,3897.55,,
2005-07-14,3900.5,3907.9,3832.55,3841.9,,
2005-07-15,3823.5,3845.7,3808.6,3834.85,,
2005-07-18,3837.45,3869.45,3835.95,3849.5,1496547,2309854
2005-07-19,3850.8,3885.8,3839.8,3877.75,1507535,2642911
2005-07-20,3888.8,3930.95,3883.25,3891.15,1512743,2920164
2005-07-21,3893.95,3926.9,3830.6,3847.85,1496010,2196800
2005-07-22,3854.95,3955.3,3823.85,3949.45,1535486,3717816
2005-07-25,3954.25,4124.65,3954.25,4105.25,1596088,7553734
2005-07-26,4087.1,4209.1,4049.95,4189.5,1628823,9480775
2005-07-27,4155.3,4329.95,4133.65,4298,1662733,
2005-07-29,4267.95,4431.95,4224.35,4361.15,1695205,12605490
2005-08-01,4349.6,4364.1,4272.65,4336,1689093,5455371
2005-08-02,4329.45,4367.25,4304.2,4320,1682846,4745565
2005-08-03,4325.55,4370.5,4304,4316,1681293,5393277
2005-08-04,4366.5,4367.2,4281.15,4297.35,1674020,3494604
2005-08-05,4270.25,4349.05,4262.85,4277.15,1666120,3675956
2005-08-08,4359.05,4359.05,4101.8,4117.25,1603926,4274617
2005-08-09,4126.35,4173.55,4071.95,4110.85,1601441,4666248
2005-08-10,4119.85,4223.05,4119.85,4213.1,1641392,3236139
2005-08-11,4219.5,4317.1,4200.45,4265.25,1661711,5763185
2005-08-12,4269.9,4303.15,4249.65,4263.25,1660942,4411250
2005-08-16,4264.55,4277.45,4201.45,4213,1641461,2502771
2005-08-17,4219.5,4244.9,4181.55,4224.55,1645951,3071794
2005-08-18,4228.65,4317.1,4201.2,4222.75,1645255,3324403
2005-08-19,4228.5,4234.9,4167.55,4174.9,1626604,2333939
2005-08-22,4196.75,4212.2,4097.9,4113.15,1602533,2145209
2005-08-23,4118.85,4142.3,4024.85,4036.05,1572503,2734024
2005-08-24,4037.9,4053.45,3952.5,4014.2,1564005,3739563
2005-08-25,4020.55,4048.45,3985.35,4038.05,1573293,4661658
2005-08-26,4038.5,4076.75,4015.95,4042.25,1575024,2346554
2005-08-29,4042.85,4043.5,3958.3,3981.2,1551248,2526342
2005-08-30,3983.65,4065,3983.65,4046.4,1576669,2216658
2005-08-31,4048.65,4067.55,4034.15,4062.6,1582973,2086864
2005-09-01,4063.85,4111.15,4054.55,4064.65,1583773,1908641
2005-09-02,4075.8,4104.9,4038.9,4089.45,1593511,2402247
2005-09-05,4096.35,4147.45,4096.35,4129.35,1609045,2100433
2005-09-06,4212.95,4212.95,4131.8,4169.1,1624533,3163150
2005-09-08,4173.85,4224.15,4172.3,4222.05,1645239,2493196
2005-09-09,4225.15,4334.2,4189.4,4314.15,1681176,4830263
2005-09-12,4318.8,4369.2,4311.45,4363.15,1700267,3388478
2005-09-13,4361.05,4417.55,4330.2,4408.05,1717746,4990445
2005-09-14,4401.75,4473.6,4373.05,4424.8,1724282,7355972
2005-09-15,4437.05,4458.4,4421.75,4452.3,1735014,3701108
2005-09-16,4488.7,4497.5,4426.7,4485.15,1747811,3488216
2005-09-19,4487.25,4550.45,4474.6,4538,1768431,3887472
2005-09-20,4531.7,4630.9,4474.25,4612,1797295,5827790
2005-09-21,4599.75,4641.25,4477.65,4568.15,1780229,7992623
2005-09-22,4562.8,4571.9,4391.4,4420.25,1722633,6136119
2005-09-23,4409.1,4451.65,4295.6,4397.95,1713932,4865935
2005-09-26,4407.55,4495.8,4406.5,4486.45,1748396,2545320
2005-09-27,4446.25,4572.45,4446.25,4549.5,1772987,5098633
2005-09-28,4550.8,4611.2,4544.4,4604.05,1794238,5264722
2005-09-29,4485,4619.8,4485,4600.05,1792684,5993482
2005-09-30,4598.3,4667.95,4538.15,4622.1,1801256,4591501
2005-10-03,4639.15,4673.4,4608.7,4622.4,1801384,3404054
2005-10-04,4624.9,4704.45,4623.2,4692.85,1828943,3809990
2005-10-05,4678.85,4703.85,4588.55,4601.45,1793325,3898031
2005-10-06,4597.45,4597.45,4448.35,4465.25,1740237,5058021
2005-10-07,4459.3,4487.4,4354.05,4414.25,1720391,5624474
2005-10-10,4415.9,4473.3,4357.85,4370.8,1703465,3748562
2005-10-11,4378.05,4497.1,4303.65,4489.4,1749674,6686233
2005-10-13,4490.15,4530.05,4370.4,4390.7,1711332,5566384
2005-10-14,4399.25,4415.5,4259.8,4274.85,1666179,5994023
2005-10-17,4293.45,4306.95,4208.1,4271.6,1664904,5551124
2005-10-18,4280.9,4331.2,4200,4233.45,1650027,3758469
2005-10-19,4208.3,4208.3,4112.8,4152.9,1618624,5369028
2005-10-20,4179.05,4248.25,4027.05,4077.95,1589542,6766967
2005-10-21,4107.1,4139.75,4026.75,4132.15,1610669,5108702
2005-10-24,4136.8,4165.5,4033.4,4049.15,1578304,4031004
2005-10-25,4056.1,4143.7,4041.05,4120.9,1606262,6230117
2005-10-26,4120.2,4147.25,4099.3,4128.55,1609239,3795068
2005-10-27,4129.25,4141.25,3919.35,3944.2,1537382,7217257
2005-10-28,3945.2,3945.2,3858.05,3876.55,1511019,4856187
2005-10-31,3907.3,4015.7,3888.9,4003.85,1560631,3412578
2005-11-01,4049.8,4069.75,4003.7,4025.25,1568989,743535
2005-11-02,4024,4040.1,3959.7,4014.65,1564842,3569358
2005-11-04,4014.65,4014.65,4014.65,4014.65,1564842,
